IDADE;SEXO;RENDA;REST_MOB;VINC;CURSO;SEM;PROAE;CURSO_MD;ORG_UND;FREQ_20172;ORIGEM1;DESTINO1;FREQ1;MOTIVO1;DESLOC2;ORIGEM2;DESTINO2;FREQ2;MOTIVO2;DESLOC3;ORIGEM3;DESTINO3;FREQ3;MOTIVO3;S_PONT;S_FREQ;S_ACES;S_CONF;S_ESPR;S_INFO;S_TRAT;S_TRAN;S_VIOL;S_SATS;I_PONT;I_FREQ;I_ACES;I_CONF;I_ESPR;I_INFO;I_TRAT;I_TRAN;I_VIOL
32;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Outro;;;;;Faculdade de Comunicação;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
22;F;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Licenciatura em Ciências Naturais;3º;N;;;1-4 Semana;Creche UFBA;Instituto de Geociências;1-4 Semana;Aula no local de destino;Sim;Creche UFBA;Faculdade de Arquitetura;1-4 Semana;Aula no local de destino;Não;;;;;DC;DC;DC;DC;DC;CC;CP;CC;DC;DC;MT IMP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP
34;F;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Licenciatura em Ciências Naturais;4º;N;;;5-9 Semana;Faculdade de Educação;Outro Órgão (UFBA);1-4 Semana;Tomar outro ônibus em local que o BUZUFBA passa;Sim;Faculdade de Direito;Outro Órgão (Não-UFBA);1-4 Semana;Aula no local de destino;Sim;Outros Locais (UFBA);Outros Locais (Não UFBA);1-4 Semana;Tomar outro ônibus em local que o BUZUFBA passa;DP;DC;DC;DC;DC;DC;DP;DP;DC;DC;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP
24;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Licenciatura em Ciências Naturais;1º;N;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;ND IMP;ND IMP;PC IMP;ND IMP;PC IMP;ND IMP;PC IMP;ND IMP;ND IMP
21;F;6-9 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Farmácia;5º;N;;;1-4 Semana;Faculdade de Farmácia;Instituto de Ciências da Saúde;1-4 Semana;Aula no local de destino;Não;;;;;;;;;;CP;DP;DP;DC;DP;CP;CP;CP;DP;CC;IMP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;PC IMP;IMP;MT IMP
22;M;1-3 SM;PcD Física, Não tenho nenhuma restrição de mobilidade.;Grad;Ciências Econômicas;3º;N;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;IMP;PC IMP;IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP
20;F;12-M SM;Não tenho nenhuma restrição de mobilidade.;Grad;Nutrição;5º;N;;;10-M Semana;Creche UFBA;Faculdade de Farmácia;1-4 Semana;Aula no local de destino;Sim;Escola Politécnica;Creche UFBA;5-9 Semana;Aula no local de destino;Não;;;;;CC;CP;CP;CP;DP;DP;CP;CP;CP;CP;MT IMP;IMP;IMP;PC IMP;PC IMP;IMP;IMP;MT IMP;MT IMP
20;M;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Oceanografia;3º;N;;;1-4 Semestre;Instituto de Geociências;Reitoria;1-4 Semestre;Outro;Não;;;;;;;;;;DP;DP;DC;DC;DC;DP;CP;DP;DC;DP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP
20;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Oceanografia;7º;N;;;5-9 Semana;Reitoria;Instituto de Geociências;1-4 Semana;Aula no local de destino;Não;;;;;;;;;;DC;DC;CP;DP;DP;DC;CP;CC;DP;DP;MT IMP;MT IMP;MT IMP;IMP;IMP;MT IMP;ND IMP;MT IMP;MT IMP
22;M;12-M SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;4º;N;;;10-M Semana;Reitoria;Pavilhão de Aulas da Federação I;10-M Semana;Aula no local de destino;Sim;Reitoria;Escola Politécnica;10-M Semana;Aula no local de destino;Não;;;;;DP;DP;CC;DC;DP;DC;DP;DC;DC;DP;MT IMP;MT IMP;PC IMP;IMP;IMP;MT IMP;PC IMP;MT IMP;MT IMP
19;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Ciências Biológicas (Lic. e Bach.);4º;S;;;1-4 Mês;Instituto de Biologia;Instituto de Ciências da Saúde;1-4 Semana;Aula no local de destino;Não;;;;;;;;;;DP;DP;DP;DC;DC;DP;DP;DC;DC;DC;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
25;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;6º;S;;;1-4 Mês;Creche UFBA;Escola Politécnica;1-4 Mês;Aula no local de destino;Sim;Pavilhão de Aulas da Federação I;Escola Politécnica;1-4 Semestre;Aula no local de destino;Não;;;;;DP;CC;DP;CC;CC;CP;DP;DP;CP;CC;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
29;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Oceanografia;6º;S;;;10-M Semana;Reitoria;Instituto de Biologia;10-M Semana;Refeição em Restaurante Universitário;Não;;;;;;;;;;DC;DC;CP;DP;CP;CP;DP;CP;DC;DC;MT IMP;MT IMP;IMP;IMP;IMP;IMP;IMP;IMP;MT IMP
23;M;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;5º;N;;;5-9 Semana;Instituto de Matemática;Escola Politécnica;1-4 Semana;Refeição em Restaurante Universitário;Sim;Faculdade de Arquitetura;Instituto de Matemática;1-4 Semana;Aula no local de destino;Não;;;;;DC;DP;CP;DC;DC;DP;CP;DP;CP;DP;MT IMP;MT IMP;IMP;IMP;PC IMP;IMP;IMP;MT IMP;MT IMP
22;M;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Oceanografia;8º;S;;;10-M Semana;Residência Universitária III;Instituto de Geociências;10-M Semana;Aula no local de destino;Sim;Restaurante Universitário (Campus Ondina);Residência Universitária III;10-M Semana;Retorno à Residência Universitária;Não;;;;;DC;DC;CP;CP;DP;DC;DP;DP;DC;DP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
22;M;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;8º;N;;;1-4 Semestre;Escola Politécnica;Reitoria;1-4 Semestre;Outro;Não;;;;;;;;;;CP;DP;CC;DC;CP;CP;CC;CP;CP;CP;MT IMP;MT IMP;IMP;IMP;IMP;IMP;IMP;IMP;IMP
29;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Oceanografia;5º;N;;;5-9 Semana;Instituto de Matemática;Instituto Feminino;1-4 Semana;Outro;Sim;Reitoria;Instituto de Geociências;1-4 Semana;Aula no local de destino;Não;;;;;DP;DC;CP;DP;DC;DP;DP;CP;DP;CP;MT IMP;MT IMP;PC IMP;IMP;PC IMP;MT IMP;IMP;MT IMP;MT IMP
21;M;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;4º;N;;;5-9 Semana;Pavilhão de Aulas da Federação I;Faculdade de Direito;1-4 Semana;Outro;Sim;Escola Politécnica;Faculdade de Direito;1-4 Semana;Outro;Sim;Creche UFBA;Escola Politécnica;1-4 Semana;Aula no local de destino;DP;DC;CP;DP;DP;CP;CP;DP;CP;DP;MT IMP;MT IMP;MT IMP;PC IMP;IMP;IMP;IMP;IMP;IMP
19;M;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Licenciatura em Ciências Naturais;5º;S;;;1-4 Semana;Faculdade de Filosofia Ciências Humanas;Faculdade de Educação;1-4 Semana;Aula no local de destino;Sim;Faculdade de Educação;Restaurante Universitário (Campus Ondina);1-4 Semana;Aula no local de destino;Não;;;;;DP;DC;DP;DC;DC;DC;CP;CP;DP;DP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP
20;F;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Dança;3º;S;;;10-M Semana;Residência Universitária III;Escola de Dança;10-M Semana;Aula no local de destino;Sim;Escola de Dança;Instituto Feminino;1-4 Mês;Outro;Não;;;;;CP;DP;CC;CP;DP;DP;CC;CC;CP;CP;MT IMP;MT IMP;MT IMP;MT IMP;IMP;IMP;IMP;IMP;IMP
34;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Nutrição;6º;S;;;10-M Semana;Creche UFBA;Faculdade de Farmácia;5-9 Semana;Aula no local de destino;Sim;Pavilhão  de  Aulas  da  Federação  III;Creche UFBA;5-9 Semana;Outro;Sim;Outros Locais (UFBA);Restaurante Universitário (Campus Ondina);1-4 Semana;Refeição em Restaurante Universitário;CP;DC;CP;DC;DC;DC;CP;CP;DC;DP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
20;F;0-1 SM;Obeso;Grad;Administração;2º;S;;;5-9 Semana;Instituto de Matemática;Escola de Administração;1-4 Semana;Aula no local de destino;Sim;Outros Locais (Não UFBA);Pavilhão de Aulas da Federação I;1-4 Semana;Aula no local de destino;Não;;;;;DP;DC;CP;DC;CP;DC;DP;CP;CP;DP;MT IMP;MT IMP;MT IMP;IMP;IMP;IMP;IMP;MT IMP;MT IMP
19;F;9-12 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Dança;3º;N;;;1-4 Mês;Escola de Dança;Reitoria;1-4 Mês;Outro;Não;;;;;;;;;;DP;DC;CP;DC;DC;DP;DP;CP;DC;DC;MT IMP;IMP;IMP;IMP;MT IMP;IMP;PC IMP;IMP;MT IMP
23;M;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Oceanografia;5º;S;;;1-4 Semestre;Pavilhão de Aulas da Federação I;Instituto de Geociências;1-4 Semestre;Aula no local de destino;Não;;;;;;;;;;DP;DC;CC;DP;DP;CP;CP;DP;DC;DP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
23;M;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Oceanografia;11º;N;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;IMP;IMP;IMP;PC IMP;IMP;PC IMP;IMP;PC IMP
28;M;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Mest;;;;Geoquímica:Petróleo e Meio Ambiente;;1-4 Mês;Instituto de Geociências;Reitoria;1-4 Mês;Evento/Treinamento no local de destino;Sim;Restaurante Universitário (Campus Ondina);Reitoria;1-4 Mês;Evento/Treinamento no local de destino;Não;;;;;DC;CP;CP;DC;DP;DC;CP;DP;DP;CP;MT IMP;MT IMP;MT IMP;IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP
20;M;6-9 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Ciência e Tecnologia - Noturno;5º;N;;;5-9 Semana;Instituto Feminino;Instituto Feminino;5-9 Semana;Outro;Não;;;;;;;;;;DP;DC;CP;CP;CC;CP;CP;CC;CC;DP;MT IMP;MT IMP;MT IMP;IMP;PC IMP;IMP;PC IMP;IMP;MT IMP
29;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Mest;;;;Antropologia;;1-4 Semana;Reitoria;Faculdade de Filosofia Ciências Humanas;1-4 Semana;Aula no local de destino;Sim;Restaurante Universitário (Campus Ondina);Reitoria;1-4 Semana;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;CP;CP;CP;DC;DC;DC;CP;DP;DP;DC;IMP;IMP;IMP;IMP;IMP;IMP;MT IMP;MT IMP;MT IMP
24;F;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Fisioterapia;8º;S;;;10-M Semana;Residência Universitária V;Pavilhão de Aulas do Canela;10-M Semana;Aula no local de destino;Sim;Pavilhão de Aulas do Canela;Residência Universitária V;10-M Semana;Retorno à Residência Universitária;Não;;;;;DC;DC;CP;DC;DC;CP;CP;DP;DC;DP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
28;M;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Mest;;;;Diversidade Animal;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP;PC IMP
30;M;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Mest;;;;Ecologia e Biomonitoramento;;10-M Semana;Reitoria;Instituto de Biologia;10-M Semana;Atividade de Pesquisa/Extensão no local de destino;Sim;Pavilhão de Aulas da Federação I;Reitoria;10-M Semana;Outro;Sim;Instituto de Biologia;Faculdade de Direito;1-4 Semana;Outro;DP;DC;CC;DC;CP;CC;DP;DP;CP;DP;MT IMP;MT IMP;IMP;IMP;IMP;PC IMP;PC IMP;IMP;MT IMP
20;F;6-9 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Oceanografia;5º;N;;;1-4 Semestre;Pavilhão de Aulas da Federação I;Pavilhão de Aulas do Canela;1-4 Semestre;Aula no local de destino;Não;;;;;;;;;;CP;DC;CP;DP;DC;CP;CC;CC;CC;DP;MT IMP;MT IMP;IMP;IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP
22;F;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Nutrição;4º;S;;;1-4 Semana;Escola de Administração;Restaurante Universitário (Campus Ondina);1-4 Semana;Aula no local de destino;Sim;Escola de Nutrição;Restaurante Universitário (Campus Ondina);1-4 Mês;Refeição em Restaurante Universitário;Não;;;;;DP;DC;CP;DC;DC;DP;DP;DP;DC;DC;MT IMP;MT IMP;IMP;IMP;IMP;MT IMP;PC IMP;MT IMP;MT IMP
19;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Química (Lic. Bach. e Química Industrial);3º;N;;;5-9 Semana;Pavilhão de Aulas da Federação I;Pavilhão de Aulas da Federação VI;5-9 Semana;Aula no local de destino;Sim;Pavilhão de Aulas da Federação I;Restaurante Universitário (Campus São Lázaro);5-9 Semana;Refeição em Restaurante Universitário;Não;;;;;DP;DC;CP;DC;DP;DP;CC;CP;DP;CP;MT IMP;MT IMP;MT IMP;MT IMP;IMP;IMP;IMP;MT IMP;MT IMP
26;F;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Saúde - Noturno;10º;S;;;1-4 Semana;Pavilhão de Aulas da Federação I;Escola de Administração;1-4 Semana;Aula no local de destino;Sim;Escola de Administração;Pavilhão  de  Aulas IV;1-4 Semana;Aula no local de destino;Sim;Pavilhão de Aulas da Federação VI;Restaurante Universitário (Campus Ondina);1-4 Semana;Refeição em Restaurante Universitário;DC;DC;CC;DC;CP;CC;CP;CP;DC;CP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
21;F;9-12 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Arquitetura e Urbanismo;5º;N;;;1-4 Semana;Pavilhão de Aulas da Federação I;Faculdade de Arquitetura;1-4 Semana;Aula no local de destino;Não;;;;;;;;;;CP;DP;DP;DP;DC;DP;CP;CP;CP;CP;MT IMP;MT IMP;IMP;IMP;MT IMP;MT IMP;MT IMP;IMP;IMP
26;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;5º;N;;;5-9 Semana;Pavilhão de Aulas da Federação I;Escola Politécnica;5-9 Semana;Atividade de Pesquisa/Extensão no local de destino;Sim;Escola Politécnica;Restaurante Universitário (Campus São Lázaro);5-9 Semana;Refeição em Restaurante Universitário;Sim;Escola Politécnica;Pró-Reitoria de Pesquisa, Criação e Inovação (PROPCI);1-4 Semestre;Outro;DC;DC;DP;DC;DC;DC;DP;DC;DP;DC;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP
26;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Ciências Sociais (Lic. e Bach.);6º;S;;;10-M Semana;Residência Universitária III;Faculdade de Filosofia Ciências Humanas;10-M Semana;Aula no local de destino;Não;;;;;;;;;;DP;DC;CC;CP;DP;DP;CC;CC;CP;CP;MT IMP;MT IMP;MT IMP;IMP;IMP;IMP;PC IMP;MT IMP;IMP
21;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Farmácia;8º;N;;;1-4 Semana;Creche UFBA;Faculdade de Farmácia;1-4 Semana;Atividade de Pesquisa/Extensão no local de destino;Sim;Faculdade de Farmácia;Instituto de Ciências da Saúde;1-4 Semana;Atividade de Pesquisa/Extensão no local de destino;Não;;;;;DP;DC;DP;DC;DC;DC;CP;DP;DC;DC;MT IMP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP
